opp_ddir_from   0   -INF    -1.0 
opp_ddir_from   1   -1.0   -0.9 
opp_ddir_from   2   -0.9   -0.8 
opp_ddir_from   3   -0.8   -0.7 
opp_ddir_from   4   -0.7   -0.6 
opp_ddir_from   5   -0.6   -0.5 
opp_ddir_from   6   -0.5   -0.4 
opp_ddir_from   7   -0.4   -0.3 
opp_ddir_from   8   -0.3   -0.2 
opp_ddir_from   9   -0.2   -0.1 
opp_ddir_from   10  -0.1   0 
opp_ddir_from   11  0   0.1 
opp_ddir_from   12  0.1     0.2 
opp_ddir_from   13  0.2     0.3 
opp_ddir_from   14  0.3     0.4 
opp_ddir_from   15  0.4     0.5 
opp_ddir_from   16  0.5     0.6 
opp_ddir_from   17  0.6     0.7 
opp_ddir_from   18  0.7     0.8 
opp_ddir_from   19  0.8     0.9 
opp_ddir_from   20   0.9     1.0 
opp_ddir_from   21   1.0     INF 
opp_ddir_to   0   -INF    -1.0 
opp_ddir_to   1   -1.0   -0.9 
opp_ddir_to   2   -0.9   -0.8 
opp_ddir_to   3   -0.8   -0.7 
opp_ddir_to   4   -0.7   -0.6 
opp_ddir_to   5   -0.6   -0.5 
opp_ddir_to   6   -0.5   -0.4 
opp_ddir_to   7   -0.4   -0.3 
opp_ddir_to   8   -0.3   -0.2 
opp_ddir_to   9   -0.2   -0.1 
opp_ddir_to   10  -0.1   0 
opp_ddir_to   11  0   0.1 
opp_ddir_to   12  0.1     0.2 
opp_ddir_to   13  0.2     0.3 
opp_ddir_to   14  0.3     0.4 
opp_ddir_to   15  0.4     0.5 
opp_ddir_to   16  0.5     0.6 
opp_ddir_to   17  0.6     0.7 
opp_ddir_to   18  0.7     0.8 
opp_ddir_to   19  0.8     0.9 
opp_ddir_to   20   0.9     1.0 
opp_ddir_to   21   1.0     INF 
opp_dir_from	0	-INF	-179
opp_dir_from	1	-179	-178
opp_dir_from	2	-178	-177
opp_dir_from	3	-177	-176
opp_dir_from	4	-176	-175
opp_dir_from	5	-175	-174
opp_dir_from	6	-174	-173
opp_dir_from	7	-173	-172
opp_dir_from	8	-172	-171
opp_dir_from	9	-171	-170
opp_dir_from	10	-170	-160
opp_dir_from	11	-160	-150
